metric,value
Year=2017; Rating=[720000 - 730000],2
Year=2011; Rating=[150000 - 160000],9
Year=2013; Rating=[1110000 - 1120000],1
Year=2015; Rating=[650000 - 660000],3
Year=2015; Rating=[1960000 - 1970000],1
Year=2018; Rating=[9010000 - 9020000],1
Year=2012; Rating=[380000 - 390000],8
Year=2014; Rating=[400000 - 410000],3
Year=2010; Rating=[4840000 - 4850000],1
Year=2011; Rating=[780000 - 790000],3
Year=2017; Rating=[630000 - 640000],1
Year=2016; Rating=[2170000 - 2180000],1
Year=2013; Rating=[180000 - 190000],23
Year=2015; Rating=[310000 - 320000],14
Year=2018; Rating=[300000 - 310000],7
Year=2010; Rating=[430000 - 440000],4
Year=2011; Rating=[15890000 - 15900000],1
Year=2018; Rating=[140000 - 150000],40
Year=2018; Rating=[250000 - 260000],16
Year=2019; Rating=[390000 - 400000],4
Year=2018; Rating=[600000 - 610000],3
Year=2018; Rating=[190000 - 200000],25
Year=2018; Rating=[1020000 - 1030000],2
Year=2019; Rating=[420000 - 430000],6
Year=2014; Rating=[840000 - 850000],1
Year=2011; Rating=[390000 - 400000],5
Year=2018; Rating=[320000 - 330000],6
Year=2018; Rating=[590000 - 600000],3
Year=2012; Rating=[660000 - 670000],4
Year=2018; Rating=[420000 - 430000],6
Year=2015; Rating=[860000 - 870000],1
Year=2014; Rating=[260000 - 270000],16
Year=2015; Rating=[1000000 - 1010000],1
Year=2011; Rating=[3380000 - 3390000],1
Year=2015; Rating=[250000 - 260000],12
Year=2017; Rating=[590000 - 600000],6
Year=2020; Rating=[190000 - 200000],14
Year=2018; Rating=[580000 - 590000],3
Year=2016; Rating=[630000 - 640000],5
Year=2010; Rating=[400000 - 410000],2
Year=2012; Rating=[460000 - 470000],3
Year=2012; Rating=[140000 - 150000],19
Year=2012; Rating=[1920000 - 1930000],1
Year=2013; Rating=[810000 - 820000],1
Year=2011; Rating=[990000 - 1000000],1
Year=2017; Rating=[470000 - 480000],3
Year=2012; Rating=[3860000 - 3870000],1
Year=2018; Rating=[270000 - 280000],10
Year=2011; Rating=[170000 - 180000],12
Year=2018; Rating=[240000 - 250000],20
Year=2017; Rating=[3520000 - 3530000],1
Year=2010; Rating=[4100000 - 4110000],1
Year=2019; Rating=[1040000 - 1050000],1
Year=2011; Rating=[950000 - 960000],1
Year=2012; Rating=[520000 - 530000],7
Year=2012; Rating=[780000 - 790000],3
Year=2016; Rating=[200000 - 210000],25
Year=2019; Rating=[850000 - 860000],4
Year=2015; Rating=[200000 - 210000],16
Year=2011; Rating=[350000 - 360000],4
Year=2015; Rating=[760000 - 770000],1
Year=2013; Rating=[390000 - 400000],3
Year=2015; Rating=[2120000 - 2130000],2
Year=2014; Rating=[3550000 - 3560000],2
Year=2021; Rating=[150000 - 160000],23
Year=2013; Rating=[470000 - 480000],7
Year=2012; Rating=[340000 - 350000],9
Year=2017; Rating=[310000 - 320000],12
Year=2018; Rating=[350000 - 360000],8
Year=2011; Rating=[1900000 - 1910000],1
Year=2012; Rating=[1260000 - 1270000],2
Year=2016; Rating=[280000 - 290000],12
Year=2011; Rating=[630000 - 640000],4
Year=2012; Rating=[370000 - 380000],4
Year=2018; Rating=[500000 - 510000],5
Year=2019; Rating=[140000 - 150000],39
Year=2012; Rating=[1590000 - 1600000],1
Year=2015; Rating=[300000 - 310000],17
Year=2013; Rating=[190000 - 200000],16
Year=2014; Rating=[1650000 - 1660000],3
Year=2015; Rating=[320000 - 330000],6
Year=2021; Rating=[430000 - 440000],2
Year=2020; Rating=[450000 - 460000],3
Year=2010; Rating=[110000 - 120000],20
Year=2021; Rating=[220000 - 230000],8
Year=2011; Rating=[140000 - 150000],14
Year=2021; Rating=[140000 - 150000],26
Year=2012; Rating=[330000 - 340000],6
Year=2019; Rating=[730000 - 740000],2
